"Route du Peuplier 90, 1955 Mayens-de-Chamoson, Switzerland"
"Hulftegg 907, 9613 Mühlrüti, Switzerland"
"Berghuus Radons, 7460 Savognin, Switzerland"
"Triemelstrasse 2, 7028 Pagig, Switzerland"
"Chem. des Clojoues 13, 3963 Crans-Montana, Switzerland"
"Chem. des Esserts 2, 1955 Chamoson, Switzerland"
"Via dalla Staziun 1, 7180 Disentis, Switzerland"
"Mooseggen Tubenmoos, 8843 Oberiberg, Switzerland"
"115 Le, Foncet 115, 2534 Orvin, Switzerland"
"Via da Fidaz 34, 7019 Fidaz, Switzerland"
"Rte du Lac 78, 1938 Orsières, Switzerland"
"Alpenstrasse 3, 6004 Luzern, Switzerland"
"Littauerboden 1, 6014 Luzern, Switzerland"
"Rte des Indivis 21, 1987 Hérémence, Switzerland"
"Rue du Pas-de-l'Ours 31, 3963 Crans-Montana, Switzerland"
"Ch. des Cergnets 1 bis, Cergnat, 1863 Ormont-Dessous, Switzerland"
"Rossweidstrasse 9, 7270 Davos, Switzerland"
"Wiler 67, 3984 Fiesch, Switzerland"
"Malbunstrasse 60, 9497 Malbun, Liechtenstein"
"Oberdorf 39, 9643 Krummenau, Switzerland"
"Route du Village 5, 1884 Villars-sur-Ollon, Switzerland"
"Via da Baselgia 57, 7515 Sils im Engadin/Segl, Switzerland"
"Dorfstrasse 21, 3713 Reichenbach im Kandertal, Switzerland"
"Arvins 49, 7522 La Punt-Chamues-ch, Switzerland"
"Dorfplatz, 7132 Vals, Switzerland"
"Silgin 205, 7148 Lumbrein, Switzerland"
"Häxenbodenstrasse 4, 6383 Wirzweli, Switzerland"
"Chem. de la Tchoueille 9058, 1993 Veysonnaz, Switzerland"
"Staffelhöheweg 9, 6356 Rigi Kaltbad, Switzerland"
"Feld 17, 3807 Iseltwald, Switzerland"
"Usser Glas 2, 7428 Tschappina, Switzerland"
"Via Maistra 94, 7504 Pontresina, Switzerland"
"Via da Marias 37, 7514 Sils im Engadin/Segl, Switzerland"
"Via da Marias 63, 7514 Sils im Engadin/Segl, Switzerland"
"Les Replans 757, 1450 Sainte-Croix, Switzerland"
"Hauptstrasse 99, 9658 Wildhaus, Switzerland"
"Schlossstrasse 3, 9497 Triesenberg, Liechtenstein"
"Griesalpstrasse 60, 3723 Kiental BE, Switzerland"
"Rathausstrasse 36, 3954 Leukerbad, Switzerland"
"Seepl. 6, 6403 Küssnacht, Switzerland"
"3910, Switzerland"
"strada cantonale, 6565 Mesocco, Switzerland"
"Kirchenstrasse 46, 8843 Oberiberg, Switzerland"
"Via Maistra 50, 7500 St Moritz, Switzerland"
"Rte de la Braye 5, 1660 Château-d’Œx, Switzerland"
"Nestel 3697, 9642 Ebnat-Kappel, Switzerland"
"Lareterstrasse 18 18, 7265 Davos, Switzerland"
"Egg 97, 3757 Diemtigen, Switzerland"
"Mühlebachstrasse 33, 3995 Ernen, Switzerland"
"Zona Scona 96, 6718 Olivone, Switzerland"
"Al Stradon da Coi 22, 6678 Coglio (Vallemaggia), Switzerland"
"Via Maistra, 7513 Silvaplana, Switzerland"
"Les Clos-Dessus 6A, 2714 Les Genevez, Switzerland"
"Rue Monseigneur-Genoud 26, 1669 Lessoc, Switzerland"
"Plazzet 20, 7503 Samedan, Switzerland"
"Fontana, 6690 Cevio, Switzerland"
"Pillonstrasse 6, 3785 Gsteig, Switzerland"
"via dal malogja 18, 7517 plaun d lej, Switzerland"
"Rue du Ctre sportif 24, 1936 Verbier, Switzerland"
"Oberdorfstrasse 53, 9658 Wildhaus, Switzerland"
"Guggelsstrasse 7, 8842 Unteriberg, Switzerland"
"Turrabüelweg 1, 7076 Parpan, Switzerland"
"Aletschbord 20, 3914 Belalp, Switzerland"
"Rte de Giez 4, 1422 Grandson, Switzerland"
"Seestrasse 47, 3654 Gunten, Switzerland"
"Dorfstrasse 22, 3088 Rüeggisberg, Switzerland"
"Planatsch 1, 7189 Rueras, Switzerland"
"Fahrenbühl 393, 3804 Habkern, Switzerland"
"Rte du Centre Sportif 1, 1874 Champéry, Switzerland"
"Adligenswilerstrasse 22, 6006 Luzern, Switzerland"
"Kantonsstrasse 151, 3952 Susten, Switzerland"
"S. Clau 28, 7156 Rueun, Switzerland"
"Dorfstrasse 10, 6443 Morschach, Switzerland"
"Spirenwaldstrasse 356, 3803 Beatenberg, Switzerland"
"Châtelard-Frontière 16 A, 1925 Finhaut, Switzerland"
"Le Chaumont 7, 2350 Saignelégier, Switzerland"
"Via Veglia 107, 7536 Sta. Maria, Switzerland"
"Ronalpstrasse 86, 3935 Bürchen, Switzerland"
"Renarde, la, Chem. des Râpes 25, 1884 Ollon, Switzerland"
"Rte des Châtaigniers 1, 1816 Chailly, Switzerland"
"Furkastrasse 338, 3998 Gluringen, Switzerland"
"Rte de Sommentier 156, 1688 Lieffrens, Switzerland"
"Widengasse 5, 9492 Eschen, Liechtenstein"
"Susten 3, 7435 Splügen, Switzerland"
"Stradung 38, 7452 Cunter, Switzerland"
"Chapfstrasse 69, 8873 Amden, Switzerland"
"Sulzelstrasse 20A, 8846 Willerzell, Switzerland"
"Via cantonale, 6690 Cavergno, Switzerland"
"ob Sigriswil CH, Schwandenstrasse 65, 3657 Schwanden (Sigriswil), Switzerland"
"Via Plaun Rueun 44, 7165 Breil/Brigels, Switzerland"
"Strada del Lido 2, 6565 Mesocco, Switzerland"
"Rue des Allamans 7, 1659 Rougemont, Switzerland"
"Rte des Layeux 1, 1884 Villars-sur-Ollon, Switzerland"
"Rte le Parfay 80, 1991 Sion, Switzerland"
"Kerenzerbergstrasse 8, 8757 Filzbach, Switzerland"
"Via Maistra 157, 7504 Pontresina, Switzerland"
"Schweizerhausstrasse 19c, 6390 Engelberg, Switzerland"
"Grande-Rue 29, 1347 Sentier, Switzerland"
"Obergasse 40, 7494 Wiesen, Switzerland"
"Lunschania 53, 7116 St. Martin, Switzerland"
"Dorfstrasse 16, 9122 Mogelsberg, Switzerland"
"Urschlagada 30, 7436 Medels im Rheinwald, Switzerland"
"Winzenberg 2, 9604 Lütisburg, Switzerland"
"Buochserstrasse 54, 6375 Beckenried, Switzerland"
"Rue de l'Eglise 8, 1994 Aproz (Nendaz, Switzerland"
"Via Alpsu 83, 7188 Tujetsch, Switzerland"
"Ruelle des, Grandes Forges 2, 1337 Vallorbe, Switzerland"
"Hinterstettli 1/5, 7075 Churwalden, Switzerland"
"Grub 235, 3538 Röthenbach im Emmental, Switzerland"
"Eichholzweg 6, 9495 Triesen, Liechtenstein"
"3, Tschappina, Switzerland"
"Dorfstrasse 29, 9657 Alt St. Johann, Switzerland"
"Bahnhofstrasse 55, 3920 Zermatt, Switzerland"
"Camanaboda 12, 7109 Thalkirch, Switzerland"
"Strandweg 10, 3855 Brienz, Switzerland"
"Sonnenberg 16, 9103 Schwellbrunn, Switzerland"
"Schletterstrasse 13, 9064 Gonten, Switzerland"
"Via Cumünala 27, 7533 Fuldera, Switzerland"
"Mareg 203 GPS Daten: N: 46°36'8'' E: 9°57'46, 7524 Zuoz, Switzerland"
"Ortolfistrasse 18, 7277 Davos, Switzerland"
"Chem. de la Source 2, 1854 Leysin, Switzerland"
"Sertigerstrasse 37, 7272 Davos, Switzerland"
"Chem. au Grand Bois 4, 1846 Chessel, Switzerland"
"Seestrasse 89, 1716 Schwarzsee-Bad, Switzerland"
"Rte de Saint-Maurice 18, 1814 La Tour-de-Peilz, Switzerland"
"Aeschlenstrasse 18, 3654 Gunten, Switzerland"
"3823 Lauterbrunnen, Switzerland"
"Poststrasse 29, 7050 Arosa, Switzerland"
"Schützengasse 1A, 2502 Biel, Switzerland"
"En Bas-le-Port 8, 2088 Cressier, Switzerland"
"Erlenweg 36, Erlenweg 34, 6390 Engelberg, Switzerland"
"Aletschpromenade 112, 3987 Riederalp, Switzerland"
"Place de la Télécabine, Rte d'Anniviers 11, 3967 Vercorin, Switzerland"
"Hauptstrasse 134, 7482 Bergün/Bravuogn, Switzerland"
"Curtginatsch, 7433 Casti-Wergenstein, Switzerland"
"Seestrasse 30, 5708 Birrwil, Switzerland"
"Museggstrasse 14, 6017 Ruswil, Switzerland"
"Seepl. 3, 6374 Buochs, Switzerland"
"Rosswald 202, 3913 Rosswald, Switzerland"
"Bahnhofstrasse 31, 7130 Ilanz, Switzerland"
"Rte de Promenthoux 8, 1197 Prangins, Switzerland"
"Waldhaus CH, Via S. Clau 2A, 7018 Flims, Switzerland"
"Eygasse 5, 3945 Gampel, Switzerland"
"Chem. Cierne des Paccots 40, 1619 Châtel-Saint-Denis, Switzerland"
"Val Bever 4, 7502 Spinas, Switzerland"
"Michelschhofstrasse 4, 7246 St. Antönien, Switzerland"
"b. Schwyz CH, Ibergereggstrasse 35, 6432 Rickenbach, Switzerland"
"Camping,, Hauptstrasse 43A, 9105 Schönengrund, Switzerland"
"Chem. des Charmettes 18, 1860 Aigle, Switzerland"
"Champ-du-Moulin-Dessus, 2149 Brot-Dessous, Switzerland"
"Flumserbergstrasse 152, 8897 Flums, Switzerland"
"Pl. de la Lande 1, 1348 Le Chenit, Switzerland"
"Abendweidstrasse 9, 8898 Flums, Switzerland"
"Chalet Ilse, Haldenweg 31, 3914 Blatten, Switzerland"
"Rte de Villars 34, 1882 Gryon, Switzerland"
"Presso Hotel Walser, 6685 Bosco Gurin, Switzerland"
"Birri 2, 3956 Guttet-Feschel, Switzerland"
"Chem. de la Digue 15, 3963 Lens, Switzerland"
"Rue du Fond de Ville 1, 1945 Liddes, Switzerland"
"Voia Principala 73, 7083 Lantsch/Lenz, Switzerland"
"Oberstockenalp, 3762 Erlenbach im Simmental, Switzerland"
"Rue du Bourg 29, 1663 Gruyères, Switzerland"
"Rue de la Tour 2, 1263 Crassier, Switzerland"
"Rte d'Arzier 1, 1264 Saint-Cergue, Switzerland"
"Bahnhofstrasse 88, 3985 Münster, Switzerland"
"Chetzeron, 3963 Crans-Montana, Switzerland"
"Chem. des Fleurettes 21, 1854 Leysin, Switzerland"
"Via Principala 46, 7115 Suraua, Switzerland"
"Wyssmülleriweg 10, 3792 Saanen, Switzerland"
"Nufenenstrasse 31, 3988 Ulrichen, Switzerland"
"Via da l'Alp 6, 7513 Silvaplana, Switzerland"
"Stradun 330, 7550 Scuol, Switzerland"
"Pl. de la Chapelle 2, 1972 Ayent, Switzerland"
"Sustenstrasse 26, 3862 Innertkirchen, Switzerland"
"Obergmeind, 7428 Tschappina, Switzerland"
"Rte d'Anzère 70, 1966 Ayent, Switzerland"
"Les Frasses 27, 2612 Cormoret, Switzerland"
"Saint-Jean en Haut 11, 3961 Saint-Jean, Switzerland"
"Via Pozz, 79, 23041 Livigno SO, Italy"
"Rue du Théâtre 11, 1820 Montreux, Switzerland"
"Rte de Pra 17, 1993 Veysonnaz, Switzerland"
"Höhematte, 3825 Mürren, Switzerland"
"Brünigen 680, 3860 Meiringen, Switzerland"
"Rue du Bourg 14, 1663 Gruyères, Switzerland"
"Bruchegg, 3914 Belalp, Switzerland"
"Via Principala 19, 7159 Andiast, Switzerland"
"Via Cantonale, S. Bernardino 57, 6565, 6565, Switzerland"
"Rue Nicolas-Glasson 3 1630, 1 Bulle, Switzerland"
"Kerenzerbergstrasse 25, 8758 Obstalden, Switzerland"
"Brücke 49, 7132 Vals, Switzerland"
